,Scheme,Category,Type,Benchmark,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
2142,ITI Ultra Short Duration Fund-Reg(DD-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index," 1,001.00",5.14,4.16,-,"5,000.00",0.95,"1,000.00"
2143,ITI Ultra Short Duration Fund-Reg(W-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index," 1,001.39",5.08,4.11,-,"5,000.00",0.95,"1,000.00"
2144,ITI Ultra Short Duration Fund-Reg(FN-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index," 1,001.42",5.07,4.11,-,"5,000.00",0.95,"1,000.00"
2145,ITI Ultra Short Duration Fund-Reg(M-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index," 1,003.75",5.06,4.10,-,"5,000.00",0.95,"1,000.00"
2146,ITI Ultra Short Duration Fund-Reg(A-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index," 1,063.02",5.06,4.10,-,"5,000.00",0.95,"1,000.00"
2147,Canara Rob Focused Equity Fund-Reg(G), Equity - Focused Fund, Open ended, S&P BSE 500 - TRI, 12.50,2.22,-,-,"5,000.00",2.08,"1,000.00"
2148,Canara Rob Focused Equity Fund-Reg(IDCW), Equity - Focused Fund, Open ended, S&P BSE 500 - TRI, 12.45,2.31,-,-,"5,000.00",2.08,"1,000.00"
2149,SBI Nifty Next 50 Index Fund-Reg(G), Index Funds - Nifty Next 50, Open ended, NIFTY NEXT 50 - TRI, 10.48,-6.52,-,-,"5,000.00",0.84,"1,000.00"
2150,SBI Nifty Next 50 Index Fund-Reg(IDCW), Index Funds - Nifty Next 50, Open ended, NIFTY NEXT 50 - TRI, 10.48,-6.51,-,-,"5,000.00",0.84,"1,000.00"
2151,Tata Dividend Yield Fund-Reg(IDCW), Equity - Dividend Yield Fund, Open ended, Nifty Dividend Opportunities 50 - TRI, 11.44,3.19,-,-,"5,000.00",2.35,"1,000.00"
2152,Aditya Birla SL Nifty 50 Equal Weight Index Fund-Reg(IDCW), Index Funds - Other, Open ended, NIFTY50 Equal Weight - TRI, 11.44,3.93,-,-,"1,000.00",1.02,"1,000.00"
2153,Kotak Nifty 50 Index Fund-Reg(G), Index Funds - Nifty, Open ended, NIFTY 50 - TRI, 11.55,4.49,-,-,"1,000.00",0.51,"1,000.00"
2154,Kotak Nifty 50 Index Fund-Reg(IDCW), Index Funds - Nifty, Open ended, NIFTY 50 - TRI, 11.55,4.49,-,-,"1,000.00",0.51,"1,000.00"
2155,ITI Value Fund-Reg(IDCW), Equity - Value Fund, Open ended, NIFTY 500 - TRI, 10.34,7.50,-,-,"5,000.00",2.41,"1,000.00"
2156,Axis Quant Fund-Reg(IDCW), Equity - Thematic Fund - Other, Open ended, S&P BSE 200 - TRI, 10.90,0.74,-,-,"1,000.00",2.14,"1,000.00"
2157,HDFC Banking & Financial Services Fund-Reg(IDCW), Equity - Sectoral Fund - Banks & Financial Services, Open ended, Nifty Financial Services - TRI, 11.23,8.80,-,-,"1,000.00",1.92,"1,000.00"
2158,Tata Floating Rate Fund-Reg(M-IDCW), Debt - Floater Fund, Open ended, N/A, 10.69,5.42,4.69,-,"5,000.00",0.73,"1,000.00"
