,Scheme,Category,Type,Benchmark,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
625,DSP Strategic Bond Fund-Reg(IDCW), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index," 1,244.91",3.83,1.97,3.67,"1,000.00",1.12,"1,000.00"
626,DSP Strategic Bond Fund-Reg(G), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index," 2,756.88",3.83,1.97,4.49,"1,000.00",1.12,"1,000.00"
627,Quant Liquid Plan(DD-IDCW), Debt - Liquid Fund, Open ended, N/A, 12.89,4.92,2.31,1.53,"5,000.00",0.54,"1,000.00"
628,Quant Liquid Plan(G), Debt - Liquid Fund, Open ended, N/A, 35.24,5.04,4.56,5.56,"5,000.00",0.54,"1,000.00"
629,Quant Liquid Plan(M-IDCW), Debt - Liquid Fund, Open ended, N/A, 15.20,4.67,3.06,1.86,"5,000.00",0.54,"1,000.00"
630,Quant Liquid Plan(W-IDCW), Debt - Liquid Fund, Open ended, N/A, 13.37,4.12,2.42,1.92,"5,000.00",0.54,"1,000.00"
631,HSBC Banking and PSU Debt Fund-Reg(G), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index, 20.43,3.85,1.42,4.38,"5,000.00",0.61,"1,000.00"
632,HSBC Banking and PSU Debt Fund-Reg(DD-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index, 11.11,3.85,1.42,4.36,"5,000.00",0.61,"1,000.00"
633,HSBC Banking and PSU Debt Fund-Reg(M-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index, 10.79,3.85,1.42,4.29,"5,000.00",0.61,"1,000.00"
634,HSBC Banking and PSU Debt Fund-Reg(W-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index, 10.31,3.85,1.42,4.30,"5,000.00",0.61,"1,000.00"
635,Franklin India Bluechip Fund(IDCW), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI, 38.48,-0.27,13.63,8.32,"5,000.00",1.9,"1,000.00"
636,Franklin India Bluechip Fund(G), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI, 694.38,-0.27,13.63,8.77,"5,000.00",1.9,"1,000.00"
637,Franklin India Equity Advantage Fund(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI, 17.65,-1.13,13.98,8.24,"5,000.00",2.09,"1,000.00"
638,Franklin India Equity Advantage Fund(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI, 119.85,-1.13,13.98,8.46,"5,000.00",2.09,"1,000.00"
639,Franklin India Smaller Cos Fund(IDCW), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI, 35.39,8.78,23.08,9.25,"5,000.00",1.9,"1,000.00"
640,Franklin India Smaller Cos Fund(G), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI, 96.57,8.78,23.40,9.62,"5,000.00",1.9,"1,000.00"
641,Franklin India Taxshield(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI, 46.27,3.59,15.53,9.83,"1,000.00",1.9,"1,000.00"
642,Franklin India Taxshield(G), Equity - ELSS, Open ended, NIFTY 500 - TRI, 894.41,3.59,15.53,10.25,"1,000.00",1.9,"1,000.00"
643,IDFC G-Sec-Constant Maturity Plan-Reg(G), Debt - Gilt Fund with 10 year constant duration, Open ended, N/A, 37.18,5.68,1.88,4.27,"1,000.00",0.65,"1,000.00"
644,IDFC G-Sec-Constant Maturity Plan-Reg(M-IDCW), Debt - Gilt Fund with 10 year constant duration, Open ended, N/A, 10.47,5.68,1.88,3.95,"1,000.00",0.65,"1,000.00"
645,IDFC G-Sec-Constant Maturity Plan-Reg(Q-IDCW), Debt - Gilt Fund with 10 year constant duration, Open ended, N/A, 11.34,5.69,1.88,3.99,"1,000.00",0.65,"1,000.00"
646,HDFC Arbitrage-WP(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage, 25.91,4.60,3.87,4.65,"1,000.00",0.95,"1,000.00"
647,HDFC Arbitrage-WP(M-IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage, 10.86,4.59,3.82,4.36,"1,000.00",0.95,"1,000.00"
648,HDFC Arbitrage-WP(IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage, 10.48,4.61,3.82,4.35,"1,000.00",0.95,"1,000.00"
649,HDFC Capital Builder Value Fund(IDCW), Equity - Value Fund, Open ended, NIFTY 500 - TRI, 26.94,3.13,15.73,7.85,"1,000.00",2.06,"1,000.00"
650,HDFC Capital Builder Value Fund(G), Equity - Value Fund, Open ended, NIFTY 500 - TRI, 446.89,3.11,16.16,8.39,"1,000.00",2.06,"1,000.00"
651,HDFC Focused 30 Fund(IDCW), Equity - Focused Fund, Open ended, NIFTY 500 - TRI, 20.04,16.74,20.21,9.50,"1,000.00",2.19,"1,000.00"
652,HDFC Focused 30 Fund(G), Equity - Focused Fund, Open ended, NIFTY 500 - TRI, 134.34,16.73,20.65,10.03,"1,000.00",2.19,"1,000.00"
653,HDFC Medium Term Debt Fund(FN-IDCW), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index, 10.11,5.02,3.01,5.26,"1,000.00",1.33,"1,000.00"
654,HDFC Medium Term Debt Fund(G), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index, 46.99,5.02,3.01,5.32,"1,000.00",1.33,"1,000.00"
655,HDFC Income Fund(Q-IDCW), Debt - Medium to Long Duration Fund, Open ended, NIFTY Medium to Long Term Debt Index, 10.96,4.87,1.85,3.19,"1,000.00",2.06,"1,000.00"
656,HDFC Income Fund(G), Debt - Medium to Long Duration Fund, Open ended, NIFTY Medium to Long Term Debt Index, 48.55,4.87,1.85,3.37,"1,000.00",2.06,"1,000.00"
657,HDFC Hybrid Debt Fund(G), Hybrid - Conservative Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index, 63.18,5.52,9.38,7.68,"1,000.00",1.83,"1,000.00"
658,HDFC Hybrid Debt Fund(M-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index, 13.26,5.52,9.19,6.35,"1,000.00",1.83,"1,000.00"
659,HDFC Hybrid Debt Fund(Q-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index, 14.18,5.52,9.09,6.36,"1,000.00",1.83,"1,000.00"
660,HDFC TaxSaver(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI, 59.20,12.58,16.52,8.13,"1,000.00",1.92,"1,000.00"
661,HDFC TaxSaver(G), Equity - ELSS, Open ended, NIFTY 500 - TRI, 820.26,12.58,17.10,8.73,"1,000.00",1.92,"1,000.00"
662,HDFC Top 100 Fund(IDCW), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI, 51.53,9.64,15.38,9.91,"1,000.00",1.79,"1,000.00"
663,HDFC Top 100 Fund(G), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI, 757.40,9.56,15.92,10.52,"1,000.00",1.79,"1,000.00"
664,HSBC Liquid Fund(DD-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index," 1,001.38",5.20,4.01,4.39,"1,00,000.00",0.22,"1,000.00"
665,HSBC Liquid Fund(G), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index," 2,207.61",5.21,4.08,5.22,"5,000.00",0.22,"1,000.00"
666,HSBC Liquid Fund(W-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index," 1,107.81",5.16,3.94,4.35,"1,00,000.00",0.22,"1,000.00"
667,HSBC Large Cap Fund(IDCW), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI, 37.32,0.44,11.93,9.25,"5,000.00",2.22,"1,000.00"
668,HSBC Large Cap Fund(G), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI, 321.01,0.44,11.93,9.62,"5,000.00",2.22,"1,000.00"
669,HSBC Flexi Cap Fund-Reg(G), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI, 130.76,-1.53,12.81,7.97,"5,000.00",1.98,"1,000.00"
670,ICICI Pru Midcap Fund(IDCW), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI, 27.51,4.36,19.33,9.30,"5,000.00",2.09,"1,000.00"
671,ICICI Pru Midcap Fund(G), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI, 163.93,4.36,19.33,9.64,"5,000.00",2.09,"1,000.00"
672,ICICI Pru Regular Savings Fund(G), Hybrid - Conservative Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index, 58.21,4.71,8.09,8.24,"5,000.00",1.74,"1,000.00"
673,ICICI Pru Regular Savings Fund(M-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index, 13.70,4.71,8.61,7.52,"5,000.00",1.74,"1,000.00"
674,ICICI Pru Medium Term Bond Fund(G), Debt - Medium Duration Fund, Open ended, CRISIL Medium Term Debt Index, 37.22,5.53,4.42,6.08,"5,000.00",1.41,"1,000.00"
675,JM Liquid Fund(DD-IDCW), Debt - Liquid Fund, Open ended, N/A, 10.43,5.19,4.02,4.38,"5,000.00",0.25,"1,000.00"
676,JM Liquid Fund(W-IDCW), Debt - Liquid Fund, Open ended, N/A, 11.01,5.20,4.01,4.38,"5,000.00",0.25,"1,000.00"
677,JM Liquid Fund(G), Debt - Liquid Fund, Open ended, N/A, 60.53,5.20,4.08,5.20,"5,000.00",0.25,"1,000.00"
678,JM Liquid Fund(Q-IDCW), Debt - Liquid Fund, Open ended, N/A, 34.26,5.20,4.08,5.20,"5,000.00",0.25,"1,000.00"
679,Kotak Gilt Fund-Reg(Q-IDCW), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index, 15.78,6.07,2.81,4.70,"5,000.00",1.48,"1,000.00"
680,Kotak Gilt Fund-Reg(G), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index, 80.74,6.07,2.81,5.07,"5,000.00",1.48,"1,000.00"
681,Kotak Debt Hybrid Fund(G), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index, 44.71,4.08,9.71,8.59,"5,000.00",1.8,"1,000.00"
682,Kotak Debt Hybrid Fund(M-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index, 12.09,4.08,9.65,7.38,"5,000.00",1.8,"1,000.00"
683,LIC MF Banking & PSU Debt Fund(DD-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index, 10.82,4.20,3.36,4.29,"5,000.00",0.83,"1,000.00"
684,LIC MF Banking & PSU Debt Fund(G), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index, 29.14,4.20,3.26,4.29,"5,000.00",0.83,"1,000.00"
685,LIC MF Banking & PSU Debt Fund(M-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index, 10.91,4.20,3.26,4.24,"5,000.00",0.83,"1,000.00"
686,LIC MF Banking & PSU Debt Fund(W-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index, 10.05,4.20,3.26,4.27,"5,000.00",0.83,"1,000.00"
687,HDFC Large and Mid Cap Fund-Reg(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI, 199.40,7.34,19.37,12.22,"1,000.00",2.09,"1,000.00"
688,Nippon India Multi Cap Fund(IDCW), Equity - Multi Cap Fund, Open ended, Nifty500 Multicap 50:25:25 - TRI, 45.70,13.91,18.52,11.44,"1,000.00",1.82,"1,000.00"
689,Nippon India Multi Cap Fund(G), Equity - Multi Cap Fund, Open ended, Nifty500 Multicap 50:25:25 - TRI, 166.50,13.91,18.52,11.67,"1,000.00",1.82,"1,000.00"
690,Nippon India Vision Fund(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI, 45.30,4.36,14.74,6.92,"5,000.00",2.08,"1,000.00"
691,Nippon India Vision Fund(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI, 842.37,4.36,14.74,7.38,"5,000.00",2.08,"1,000.00"
692,SBI Magnum Constant Maturity Fund-Reg(IDCW), Debt - Gilt Fund with 10 year constant duration, Open ended, Nifty 10 yr Benchmark G-Sec, 16.98,5.75,2.46,4.27,"5,000.00",0.63,"1,000.00"
693,SBI Magnum Constant Maturity Fund-Reg(G), Debt - Gilt Fund with 10 year constant duration, Open ended, Nifty 10 yr Benchmark G-Sec, 52.20,5.75,2.46,4.30,"5,000.00",0.63,"1,000.00"
694,SBI Magnum Income Fund-Reg(IDCW), Debt - Medium to Long Duration Fund, Open ended, CRISIL Medium to Long Term Debt Index, 15.41,6.08,3.49,5.30,"5,000.00",1.46,"1,000.00"
695,SBI Credit Risk Fund-Reg(IDCW), Debt - Credit Risk Fund, Open ended, NIFTY Credit Risk Bond Index, 16.98,5.52,4.30,5.87,"5,000.00",1.55,"1,000.00"
696,SBI Credit Risk Fund-Reg(G), Debt - Credit Risk Fund, Open ended, NIFTY Credit Risk Bond Index, 37.56,5.52,4.30,5.87,"5,000.00",1.55,"1,000.00"
697,SBI Magnum Income Fund-Reg(G), Debt - Medium to Long Duration Fund, Open ended, CRISIL Medium to Long Term Debt Index, 58.90,6.08,3.49,5.30,"5,000.00",1.46,"1,000.00"
698,SBI Magnum Medium Duration Fund-Reg(IDCW), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index, 16.49,5.75,3.57,5.84,"5,000.00",1.22,"1,000.00"
699,SBI Magnum Medium Duration Fund-Reg(G), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index, 42.55,5.75,3.57,5.84,"5,000.00",1.22,"1,000.00"
700,IDFC Core Equity Fund-Reg(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI, 19.77,7.14,15.31,9.69,"1,000.00",2.03,"1,000.00"
701,IDFC Core Equity Fund-Reg(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI, 74.05,7.16,15.73,10.09,"1,000.00",2.03,"1,000.00"
702,IDFC Large Cap Fund-Reg(IDCW), Equity - Large Cap Fund, Open ended, S&P BSE 100 - TRI, 17.74,-1.67,11.48,9.11,"1,000.00",2.19,"1,000.00"
703,IDFC Large Cap Fund-Reg(G), Equity - Large Cap Fund, Open ended, S&P BSE 100 - TRI, 49.25,-1.66,11.90,9.50,"1,000.00",2.19,"1,000.00"
704,IDFC Flexi Cap Fund-Reg(IDCW), Equity - Flexi Cap Fund, Open ended, S&P BSE 500 - TRI, 39.95,-0.03,10.32,7.29,"1,000.00",1.9,"1,000.00"
705,IDFC Flexi Cap Fund-Reg(G), Equity - Flexi Cap Fund, Open ended, S&P BSE 500 - TRI, 136.79,-0.03,10.61,7.60,"1,000.00",1.9,"1,000.00"
706,Sundaram Mid Cap Fund-Reg(IDCW), Equity - Mid Cap Fund, Open ended, Nifty Midcap 100 - TRI, 42.33,5.97,13.42,6.72,"1,000.00",1.87,"1,000.00"
707,Sundaram Mid Cap Fund-Reg(G), Equity - Mid Cap Fund, Open ended, Nifty Midcap 100 - TRI, 735.50,6.01,13.49,7.07,"1,000.00",1.87,"1,000.00"
708,Tata Hybrid Equity Fund-Reg(IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index, 82.25,7.00,13.33,8.80,"5,000.00",1.96,"1,000.00"
709,Tata Hybrid Equity Fund-Reg(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index, 321.84,6.62,13.60,9.15,"5,000.00",1.96,"1,000.00"
710,Tata Equity P/E Fund(Div Trig Opt B-10%), Equity - Value Fund, Open ended, NIFTY 500 - TRI, 79.13,6.85,14.58,8.24,"5,000.00",1.77,"1,000.00"
711,Tata Equity P/E Fund(G), Equity - Value Fund, Open ended, NIFTY 500 - TRI, 208.41,6.90,14.63,8.29,"5,000.00",1.77,"1,000.00"
712,Tata Liquid Fund-Reg(DD-IDCW), Debt - Liquid Fund, Open ended, N/A," 1,001.52",5.13,4.05,4.40,"5,000.00",0.32,"1,000.00"
713,Tata Liquid Fund-Reg(G), Debt - Liquid Fund, Open ended, N/A," 3,489.40",5.14,4.15,5.24,"5,000.00",0.32,"1,000.00"
714,Franklin India Savings Fund(Q-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index, 10.48,5.78,4.77,4.19,"10,000.00",0.28,"1,000.00"
715,Franklin India Savings Fund(G), Debt - Money Market Fund, Open ended, Nifty Money Market Index, 42.10,5.78,4.77,4.66,"10,000.00",0.28,"1,000.00"
716,UTI Hybrid Equity Fund-Reg(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index, 264.55,6.44,16.26,9.06,"1,000.00",1.99,"1,000.00"
717,UTI Hybrid Equity Fund-Reg(IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index, 33.22,6.44,16.23,8.64,"5,000.00",1.99,"1,000.00"
718,UTI Gilt Fund-Reg(IDCW), Debt - Gilt Fund, Open ended, CRISIL Dynamic Gilt Index, 32.45,6.36,3.84,4.45,"20,000.00",0.94,"1,000.00"
719,UTI Gilt Fund-Reg(G), Debt - Gilt Fund, Open ended, CRISIL Dynamic Gilt Index, 52.31,6.36,3.84,4.45,"1,000.00",0.94,"1,000.00"
720,Sundaram Ultra Short Duration Fund(G), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index," 2,318.32",4.95,4.02,3.45,"1,000.00",1.43,"1,000.00"
721,Sundaram Ultra Short Duration Fund(DD-IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index," 1,005.43",4.95,4.02,3.39,"1,000.00",1.43,"1,000.00"
722,Sundaram Ultra Short Duration Fund(W-IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index," 1,020.11",4.95,4.02,9.21,"1,000.00",1.43,"1,000.00"
723,Sundaram Ultra Short Duration Fund(M-IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index," 1,064.82",4.95,4.02,3.38,"1,000.00",1.43,"1,000.00"
724,HDFC Small Cap Fund-Reg(G), Equity - Small cap Fund, Open ended, S&P BSE 250 Small Cap - TRI, 80.57,9.89,26.33,11.56,"1,000.00",1.93,"1,000.00"
725,HDFC Small Cap Fund-Reg(IDCW), Equity - Small cap Fund, Open ended, S&P BSE 250 Small Cap - TRI, 34.58,9.90,26.33,11.29,"1,000.00",1.93,"1,000.00"
726,Aditya Birla SL Tax Relief '96(G), Equity - ELSS, Open ended, NIFTY 500 - TRI, 39.99,-0.65,6.16,5.08,"1,000.00",1.78,"1,000.00"
727,PGIM India Gilt Fund(G), Debt - Gilt Fund, Open ended, CRISIL Dynamic Gilt Index, 25.21,3.47,2.46,3.91,"5,000.00",1.46,"1,000.00"
728,PGIM India Gilt Fund(Q-IDCW), Debt - Gilt Fund, Open ended, CRISIL Dynamic Gilt Index, 13.83,3.47,2.46,3.74,"5,000.00",1.46,"1,000.00"
729,IDFC Dynamic Bond Fund-Reg(G), Debt - Dynamic Bond, Open ended, NIFTY Composite Debt Index, 28.34,3.48,1.01,4.32,"1,000.00",1.62,"1,000.00"
730,IDFC Dynamic Bond Fund-Reg(IDCW), Debt - Dynamic Bond, Open ended, NIFTY Composite Debt Index, 10.83,3.48,1.01,2.34,"1,000.00",1.62,"1,000.00"
731,HDFC Large and Mid Cap Fund-Reg(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI, 26.58,7.35,18.81,11.63,"1,000.00",2.09,"1,000.00"
732,Tata Equity P/E Fund(Div Trig Opt A-5%), Equity - Value Fund, Open ended, NIFTY 500 - TRI, 84.61,5.53,14.11,7.99,"5,000.00",1.77,"1,000.00"
733,Axis Strategic Bond Fund-Reg(G), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index, 23.10,5.25,3.95,5.91,"5,000.00",1.08,"1,000.00"
734,Axis Strategic Bond Fund-Reg(Q-IDCW), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index, 10.14,5.25,3.95,5.68,"5,000.00",1.08,"1,000.00"
735,Axis Strategic Bond Fund-Reg(H-IDCW), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index, 10.80,5.25,3.95,5.64,"5,000.00",1.08,"1,000.00"
736,DSP Focus Fund-Reg(G), Equity - Focused Fund, Open ended, NIFTY 500 - TRI, 33.29,-0.14,8.48,7.72,"1,000.00",2.14,"1,000.00"
737,DSP Focus Fund-Reg(IDCW), Equity - Focused Fund, Open ended, NIFTY 500 - TRI, 15.80,-0.14,8.48,7.57,"1,000.00",2.14,"1,000.00"
738,Kotak Credit Risk Fund(G), Debt - Credit Risk Fund, Open ended, NIFTY Credit Risk Bond Index, 24.68,3.21,0.46,3.67,"5,000.00",1.71,"1,000.00"
739,Kotak Credit Risk Fund(IDCW), Debt - Credit Risk Fund, Open ended, NIFTY Credit Risk Bond Index, 10.73,3.21,0.46,2.81,"5,000.00",1.71,"1,000.00"
740,IDFC Dynamic Bond Fund-Reg(Q-IDCW), Debt - Dynamic Bond, Open ended, NIFTY Composite Debt Index, 11.27,3.48,1.01,4.07,"1,000.00",1.62,"1,000.00"
741,ICICI Pru Regular Savings Fund(Q-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index, 11.37,4.71,8.09,7.37,"5,000.00",1.74,"1,000.00"
742,Axis Dynamic Bond Fund-Reg(G), Debt - Dynamic Bond, Open ended, NIFTY Composite Debt Index, 24.54,5.39,2.48,5.09,"5,000.00",0.66,"1,000.00"
743,Axis Dynamic Bond Fund-Reg(Q-IDCW), Debt - Dynamic Bond, Open ended, NIFTY Composite Debt Index, 10.23,5.39,2.48,4.91,"5,000.00",0.66,"1,000.00"
744,Tata Hybrid Equity Fund-Reg(M-IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index, 72.86,6.62,13.42,8.57,"5,000.00",1.96,"1,000.00"
745,ICICI Pru Medium Term Bond Fund(Q-IDCW), Debt - Medium Duration Fund, Open ended, CRISIL Medium Term Debt Index, 10.61,5.53,4.42,6.08,"5,000.00",1.41,"1,000.00"
746,Axis Dynamic Bond Fund-Reg(H-IDCW), Debt - Dynamic Bond, Open ended, NIFTY Composite Debt Index, 10.62,5.40,2.48,4.65,"5,000.00",0.66,"1,000.00"
747,HDFC Gold Fund(G), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-India, 17.49,11.82,10.02,11.48,"1,000.00",0.65,"1,000.00"
748,Axis Gilt Fund-Reg(G), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index, 20.97,4.07,2.53,5.08,"5,000.00",0.99,"1,000.00"
749,Axis Gilt Fund-Reg(IDCW), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index, 10.03,4.07,2.53,3.96,"5,000.00",0.99,"1,000.00"
750,Axis Gilt Fund-Reg(H-IDCW), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index, 10.26,4.07,2.53,4.65,"5,000.00",0.99,"1,000.00"
751,IIFL Liquid Fund-Reg(G), Debt - Liquid Fund, Open ended, N/A," 1,710.99",5.11,3.78,4.78,"5,000.00",0.25,"1,000.00"
752,IIFL Liquid Fund-Reg(DD-IDCW), Debt - Liquid Fund, Open ended, N/A," 1,000.07",5.11,3.72,4.03,"5,000.00",0.25,"1,000.00"
753,HSBC Short Duration Fund-Reg(G), Debt - Short Duration Fund, Open ended, Nifty Short Duration Debt Index, 22.20,4.57,2.81,4.74,"5,000.00",0.75,"1,000.00"
754,HSBC Short Duration Fund-Reg(IDCW), Debt - Short Duration Fund, Open ended, Nifty Short Duration Debt Index, 11.07,4.57,2.81,4.63,"5,000.00",0.75,"1,000.00"
755,UTI Core Equity Fund-Reg(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI, 102.73,5.56,18.39,9.56,"5,000.00",2.51,"1,000.00"
756,UTI Core Equity Fund-Reg(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI, 50.05,5.56,18.39,9.56,"5,000.00",2.51,"1,000.00"
757,Franklin India Savings Fund(DD-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index, 10.05,5.78,4.77,4.38,"10,000.00",0.28,"1,000.00"
758,Edelweiss Government Securities Fund-Reg(G), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index, 20.44,4.92,2.90,6.15,"5,000.00",1.34,"1,000.00"
759,HSBC Small Cap Fund-Reg(G), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI, 48.12,7.04,26.72,11.35,"5,000.00",1.85,"1,000.00"
760,IIFL Liquid Fund-Reg(W-IDCW), Debt - Liquid Fund, Open ended, N/A," 1,005.34",5.05,3.68,4.01,"5,000.00",0.25,"1,000.00"
761,Edelweiss Government Securities Fund-Reg(IDCW), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index, 20.45,4.93,2.90,6.15,"5,000.00",1.34,"1,000.00"
762,Edelweiss Government Securities Fund-Reg(M-IDCW), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index, 10.41,4.92,2.90,5.79,"5,000.00",1.34,"1,000.00"
763,HSBC Small Cap Fund-Reg(IDCW), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI, 31.36,6.99,26.73,10.96,"5,000.00",1.85,"1,000.00"
764,Axis Arbitrage Fund-Reg(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage, 15.86,4.47,4.04,4.80,"1,000.00",1.05,"1,000.00"
765,Axis Arbitrage Fund-Reg(IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage, 10.68,3.98,3.83,4.42,"1,000.00",1.05,"1,000.00"
766,ICICI Pru Constant Maturity Gilt Fund(G), Debt - Gilt Fund with 10 year constant duration, Open ended, N/A, 20.09,5.73,2.15,4.99,"5,000.00",0.39,"1,000.00"
767,ICICI Pru Constant Maturity Gilt Fund(Q-IDCW Payout), Debt - Gilt Fund with 10 year constant duration, Open ended, N/A, 10.84,5.73,2.15,4.44,"5,000.00",0.39,"1,000.00"
768,Motilal Oswal Long Term Equity Fund-Reg(G), Equity - ELSS, Open ended, NIFTY 500 - TRI, 27.36,3.43,12.00,8.63,"1,000.00",2.02,"1,000.00"
769,Motilal Oswal Long Term Equity Fund-Reg(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI, 20.02,3.43,12.00,8.58,"1,000.00",2.02,"1,000.00"
770,Edelweiss Flexi Cap Fund-Reg(G), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI, 23.52,3.05,14.66,10.36,"5,000.00",2.21,"1,000.00"
771,Edelweiss Flexi Cap Fund-Reg(IDCW), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI, 19.31,3.05,14.66,10.36,"5,000.00",2.21,"1,000.00"
